Category,Common Name,Order,Family,Genus,Species,Subspecies,NCBILink,NCBITaxID
"Even-toed Ungulates","Water Buffalo",Artiodactyla,Bovidae,Bubalus,bubalis,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=89462,89462
Chiroptera,"Island Flying Fox",Chiroptera,Pteropodiae,Pteropus,hypomelanus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9405,9405
"Non-human primates","Rhesus Macaque",Primates,Cercopithecidae,Macaca,mulatta,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9544,9544
"Canoidea Carnivores","Black Bear",Carnivora,Ursidae,Ursus,americanus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9643,9643
Human,Human,Primates,Hominidae,Homo,sapiens,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9606,9606
"Feloidea Carnivores",Hyena,Carnivora,Hyaenidae,Crocuta,crocuta,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9678,9678
"Non-human primates",Siamang,Primates,Hylobatidae,Symphalangus,syndactylus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9590,9590
"Odd-toed Ungulates","Black Rhinoceros",Perissodactyla,Rhonocerotidae,Diceros,bicornis,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9805,9805
Marsupials,"Grey Kangaroo",Diprotodontia,Macropodidae,Macropus,giganteus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9317,9317
Marsupials,Koala,Diprotodontia,Phascolarctidae,Phascolarctos,cinereus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=38626,38626
Pinnipeds,"Arctic Harbor Seal",Pinnipedia,Phocidae,Phoca,vitulina,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9720,9720
Monotremes,Platypus,Monotreme,Ornithorhynchidae,Ornithorhynchus,anatinus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9258,9258
"Non-human primates","Toque Macaque",Primates,Cercopithecidae,Macaca,sinica,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9552,9552
"Canoidea Carnivores",Mink,Carnivora,Mustelidae,Neovison,vison,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=452646,452646
"Feloidea Carnivores","Clouded Leopard",Carnivora,Felidae,Neofelis,nebulosa,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=61452,61452
Pinnipeds,"Bearded Seal",Pinnipedia,Phocidae,Erignathus,barbatus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=39304,39304
"Even-toed Ungulates","Dromedary Camel",Artiodactyla,Camelidae,Camelus,dromedarius,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9838,9838
Marsupials,"Goodfellow's Tree Kangaroo",Diprotodontia,Macropodidae,Dendrolagus,goodfellowi,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=69260,69260
Proboscidea,"African Elephant",Proboscidea,Elephantidae,Loxodonta,africana,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9785,9785
"Canoidea Carnivores","Japanese Black Bear",Carnivora,Ursidae,Ursus,thibetanus,japonicus,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=378754,378754
Marsupials,"Red Kangaroo",Diprotodontia,Macropodidae,Macropus,rufus,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=9315,9321
"Even-toed Ungulates",Sitatunga,Aritodactyla,Bovidae,Tragelaphus,spekii,"",https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=69298,69298
