NCBITaxID,DOI,isomer_ID
116960,10.1007/978-1-4615-1371-1_40,3_1_0_0_0b
71006,10.1111/j.1740-0929.2008.00583.x,3_1_0_0_1a
9483,10.1021/pr1009367,3_1_0_0_0h
9483,10.1021/pr1009367,7_5_0_0_0c
9606,10.1021/acs.analchem.0c00342,8_6_3_0_0b
9643,10.1007/978-1-4615-1371-1_40,2_0_2_0_0a
9606,10.1021/pr1009367,4_2_0_0_0h
9923,10.1021/acs.analchem.0c00342,3_0_0_0_0e
9590,10.1021/pr1009367,4_1_0_0_0k
9606,10.1016/bs.accb.2015.08.002,4_2_2_0_0c
9606,10.1016/bs.accb.2015.08.002,3_0_0_0_0b
9825,10.1017/S0007114513003772,3_0_0_1_0e
9483,10.1021/pr1009367,2_2_0_1_0a
9654,"10.1007/s10719-018-9821-z ",8_6_3_1_0b
9483,10.1021/pr1009367,4_2_0_0_0s
9796,10.1002/2211-5463.12460,2_1_0_1_0f
9606,10.4052/tigg.1734.1SE,5_3_1_0_0d
9606,10.1021/pr1009367,4_2_2_0_0q
9838,10.1017/S0007114513003772,2_0_0_1_0a
9923,10.1016/j.chroma.2015.09.060,4_0_0_0_0k
9606,10.1021/acs.jafc.1c05872,4_2_0_1_0n
9913,10.1021/jf300015j,1_1_0_1_1a
9483,10.1021/pr1009367,5_3_0_0_0j
9923,10.1021/acs.jafc.1c00499,2_0_0_2_0a
9913,10.1021/acs.analchem.0c00342,2_0_0_0_1b
9837,10.1021/acs.jafc.1c05872,4_1_0_0_1c
9261,10.1126/science.180.4082.20,2_0_1_0_0a
9483,10.1021/pr1009367,5_3_1_0_0l
9606,10.1021/acs.analchem.0c00342,1_1_1_0_0a
9923,10.1016/j.chroma.2015.09.060,2_2_0_0_0e
9913,10.1017/S0007114513003772,1_1_0_0_1b
9598,10.1021/pr1009367,4_1_3_0_0a
9590,10.1021/pr1009367,5_3_0_0_0j
9606,10.1021/acs.jafc.1c05872,1_1_1_0_0b
9767,10.1016/s1096-4959(02)00083-0,2_1_1_0_0b
9923,10.1021/acs.jafc.6b05104,4_2_0_1_0n
9796,10.1017/S0007114513003772,2_0_0_1_0c
9796,https://www.mattioli1885journals.com/index.php/progressinnutrition/article/view/5148,2_0_0_1_0b
9923,10.1016/j.chroma.2015.09.060,4_1_0_0_0h
9825,10.1093/jas/sky212,4_1_0_1_0g
9315,10.1016/0008-6215(83)88344-x,3_1_0_0_0c
9615,10.1371/journal.pone.0243323,3_0_0_0_0h
9825,10.3168/jds.2016-10966,3_0_0_0_0g
9783,10.1016/j.cbpa.2006.08.001,3_1_1_1_0b
9606,10.1021/pr1009367,4_2_3_0_0i
9825,10.1021/acs.jafc.6b00497,5_1_0_0_0g
9913,10.1021/acs.jafc.1c05872,2_0_1_0_1a
9913,10.1021/acs.analchem.0c00342,3_0_0_0_0b
9483,10.1021/pr1009367,3_1_1_0_0j
378754,10.1016/s0304-4165(99)00134-8,4_1_2_0_0b
9796,10.1021/acs.jafc.5b01127,2_0_0_2_0a
9606,10.1016/bs.accb.2015.08.002,3_1_1_0_0f
9606,10.4052/tigg.1734.1SE,4_2_1_1_0f
9598,10.1021/pr1009367,5_3_0_0_0b
9838,10.1017/S0007114513003772,4_2_0_0_0f
1446311,10.1021/acs.analchem.0c00342,2_0_0_1_1b
9281,10.1007/s10719-016-9675-1,4_0_0_0_0a
30521,10.1016/j.idairyj.2020.104727,2_0_0_1_0b
9825,10.1002/elps.201500471,2_2_0_0_0c
9606,10.1021/jf0615810,6_4_1_1_0a
9796,10.1021/acs.jafc.5b01127,3_0_0_0_0b
89462,10.1021/acs.analchem.0c00342,2_1_0_0_0c
9913,10.1021/acs.jafc.1c05872,5_0_0_0_1a
9315,10.1007/s10719-012-9372-7,6_0_0_0_0a
9606,10.1021/pr1009367,3_1_0_1_0f
9600,10.1007/978-1-4615-1371-1_40,3_1_0_0_0b
9615,10.1371/journal.pone.0243323,2_1_0_0_0k
30588,10.1021/pr1009367,4_2_0_0_0n
9825,10.1093/jas/sky212,4_2_0_1_0n
9825,10.3389/fnut.2016.00039,3_2_0_0_0f
9598,10.1021/pr1009367,3_0_2_1_0a
9598,10.1021/pr1009367,2_1_0_0_0l
9606,10.1021/pr1009367,6_4_1_0_0o
9838,10.1017/S0007114513003772,2_2_0_0_0a
9552,10.1007/s10719-010-9315-0,2_0_0_1_0a
9825,10.1021/jf100398u,4_2_1_1_0m
9785,10.1016/j.cbpb.2008.01.010,4_2_0_1_0d
9598,10.1021/pr1009367,3_1_0_0_0m
9913,10.1021/jf300015j,4_1_0_1_0g
9598,10.1021/pr1009367,3_0_2_0_0c
9923,10.1016/j.carbpol.2020.115965,2_0_0_1_1e
9923,10.1016/j.chroma.2015.09.060,4_0_0_0_0g
9643,10.1007/s10719-019-09899-7,4_1_1_0_0b
9606,10.1021/pr1009367,5_3_4_0_0c
9923,10.1021/acs.analchem.0c00342,4_1_0_0_0h
9600,10.1093/glycob/cwp006,3_1_0_0_0a
9838,10.1016/j.idairyj.2012.08.008,4_2_0_1_0d
9913,10.1021/jf300015j,3_1_0_0_0f
9606,10.4052/tigg.1734.1SE,6_4_3_0_0a
39293,10.1016/j.ab.2009.03.004,7_5_2_0_0a
34828,10.1007/s10719-012-9370-9,4_2_0_1_0c
9796,10.1017/S0007114513003772,4_2_0_1_0m
9913,10.3168/jds.2019-17357,2_0_0_2_0a
9825,10.1021/jf100398u,3_0_0_1_0a
9923,10.1016/j.smallrumres.2013.03.014,1_1_0_0_1d
9644,10.1016/s0304-4165(96)00101-8,2_0_1_0_0a
30588,10.1021/pr1009367,4_2_2_0_0i
9606,10.1021/jf0615810,4_2_1_0_0o
9837,10.1021/acs.jafc.1c05872,4_0_0_0_0c
34828,10.1007/s10719-012-9370-9,4_2_0_0_0b
9940,10.1016/s0304-4165(98)00040-3,2_0_0_1_0a
9785,10.1016/j.cbpb.2008.01.010,4_1_1_0_0b
9595,10.1021/pr1009367,4_2_2_0_0o
9923,10.1021/acs.jafc.1c00499,4_1_0_0_0g
9606,10.1021/pr1009367,4_2_0_1_0s
